player_id,season,position_std,min,pts,reb,ast,stl,blk,tov,fg_pct,fg3_pct,ft_pct,height_m,weight_kg,BMI,body_fat_pct_est,lean_mass_kg,fat_mass_kg,injured
1884,2004,Point Guard,380.0,208.0,36.0,92.0,16.0,6.0,39.0,0.42,0.41,0.82,1.9,96.2,26.6,23.1,74.0,22.2,0
1709,2010,Center,234.0,40.0,48.0,5.0,8.0,13.0,17.0,0.41,0.0,0.67,2.13,122.5,27.0,23.3,94.0,28.5,0
779,2008,Shooting Guard,607.0,172.0,47.0,31.0,12.0,3.0,24.0,0.39,0.28,0.8,2.03,103.4,25.1,22.2,80.4,23.0,0
77850,1949,Small Forward,0.0,165.0,0.0,41.0,0.0,0.0,0.0,0.32,0.0,0.59,1.96,88.5,23.0,16.9,73.5,15.0,0
1716,2021,Point Guard,114.0,12.0,5.0,7.0,2.0,0.0,12.0,0.23,0.14,0.5,1.96,83.9,21.8,17.3,69.4,14.5,0
78363,1954,Center,0.0,597.0,0.0,142.0,0.0,0.0,0.0,0.33,0.0,0.76,1.93,95.3,25.6,21.2,75.1,20.2,0
77527,1996,Small Forward,204.0,65.0,49.0,6.0,1.0,3.0,10.0,0.57,0.0,0.68,2.06,97.5,23.0,17.6,80.3,17.2,0
78128,1956,Small Forward,72.0,10.0,22.0,0.0,0.0,0.0,0.0,0.18,0.0,0.4,2.03,90.7,22.0,15.7,76.5,14.2,0
0,,,2119.0,1043.0,204.0,320.0,60.0,3.0,0.0,0.46,0.0,0.88,,,,,,,0
673,2005,Power Forward,1808.0,769.0,406.0,50.0,51.0,29.0,126.0,0.44,0.0,0.64,2.06,108.9,25.7,22.5,84.4,24.5,0
77199,1953,Small Forward,0.0,751.0,0.0,194.0,0.0,0.0,0.0,0.37,0.0,0.75,1.93,102.1,27.4,22.4,79.2,22.9,0
77847,1960,Small Forward,2873.0,2105.0,1182.0,221.0,0.0,0.0,0.0,0.44,0.0,0.76,2.06,93.0,21.9,17.4,76.8,16.2,0
1630169,2022,Point Guard,2694.0,1181.0,311.0,628.0,134.0,49.0,199.0,0.47,0.41,0.84,1.96,83.9,21.8,15.2,71.1,12.8,1
1501,2012,Small Forward,2054.0,836.0,378.0,171.0,55.0,28.0,106.0,0.41,0.38,0.71,2.08,108.9,25.2,21.4,85.6,23.3,0
959,2001,Point Guard,2712.0,1455.0,234.0,598.0,85.0,6.0,192.0,0.46,0.41,0.91,1.9,80.7,22.4,19.7,64.8,15.9,0
1630270,2023,Small Forward,39.0,5.0,6.0,1.0,0.0,0.0,0.0,0.2,0.12,0.0,1.96,97.5,25.4,20.3,77.7,19.8,0
203210,2038,Power Forward,471.0,208.0,157.0,14.0,12.0,8.0,23.0,0.48,0.41,0.81,2.06,103.0,24.3,20.6,81.8,21.2,0
190,1997,Center,594.0,118.0,127.0,20.0,15.0,38.0,34.0,0.51,0.67,0.54,2.13,115.7,25.5,22.2,90.0,25.7,1
1631157,2023,Point Guard,12.0,3.0,2.0,3.0,2.0,0.0,1.0,0.5,1.0,0.0,1.9,81.6,22.6,15.8,68.7,12.9,1
77848,1991,Point Guard,87.0,28.0,11.0,11.0,1.0,0.0,6.0,0.31,0.4,1.0,1.98,93.0,23.7,18.4,75.9,17.1,0
2400,2019,Small Forward,2238.0,885.0,681.0,88.0,70.0,28.0,115.0,0.47,0.17,0.71,2.08,113.4,26.2,23.1,87.2,26.2,0
202361,2011,Shooting Guard,1037.0,240.0,208.0,60.0,32.0,8.0,42.0,0.46,0.14,0.64,2.01,97.5,24.1,18.7,79.3,18.2,0
203101,2015,Center,310.0,82.0,53.0,18.0,11.0,9.0,22.0,0.44,0.0,0.63,2.11,112.9,25.4,21.2,89.0,23.9,0
202379,2010,Small Forward,215.0,75.0,58.0,11.0,8.0,13.0,8.0,0.61,0.0,0.64,2.06,90.7,21.4,16.4,75.8,14.9,0
1752,2015,Power Forward,75.0,10.0,23.0,2.0,0.0,3.0,2.0,0.5,0.0,0.4,2.08,113.4,26.2,23.3,87.0,26.4,0
1629620,2026,Point Guard,304.0,78.0,21.0,32.0,9.0,1.0,17.0,0.3,0.3,0.5,1.85,88.5,25.9,20.4,70.4,18.1,0
76500,1974,Small Forward,545.0,230.0,83.0,60.0,16.0,9.0,33.0,0.43,0.0,0.72,1.98,88.5,22.6,18.7,72.0,16.5,0
201568,2016,Small Forward,1671.0,764.0,229.0,82.0,38.0,18.0,58.0,0.42,0.35,0.89,2.08,107.0,24.7,21.5,84.0,23.0,1
1576,1997,Small Forward,365.0,136.0,92.0,20.0,18.0,5.0,30.0,0.47,0.0,0.52,1.98,97.5,24.9,20.3,77.7,19.8,0
0,,,775.0,342.0,314.0,60.0,0.0,0.0,0.0,0.44,0.0,0.66,,,,,,,0
2545,2018,Center,254.0,67.0,43.0,7.0,2.0,17.0,16.0,0.33,0.0,0.71,2.13,124.7,27.5,23.0,96.0,28.7,0
1068,1994,Center,685.0,132.0,170.0,31.0,16.0,24.0,43.0,0.5,1.0,0.71,2.16,120.2,25.8,22.4,93.3,26.9,0
0,,,28.0,7.0,4.0,5.0,0.0,0.0,0.0,0.43,0.25,0.0,,,,,,,0
77373,1981,Point Guard,2252.0,870.0,213.0,362.0,80.0,14.0,185.0,0.5,0.5,0.81,1.88,79.4,22.5,16.8,66.1,13.3,0
76872,1972,Small Forward,32.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,2.01,86.2,21.3,15.3,73.0,13.2,0
2419,2038,Small Forward,3057.0,1163.0,476.0,253.0,44.0,51.0,101.0,0.45,0.4,0.78,2.06,96.2,22.7,19.1,77.8,18.4,0
101180,2011,UNKNOWN,309.0,113.0,21.0,61.0,13.0,1.0,31.0,0.37,0.27,0.87,,,,,,,0
107,2023,Point Guard,2626.0,1204.0,315.0,139.0,57.0,7.0,98.0,0.48,0.41,0.76,2.01,93.0,23.0,20.4,74.0,19.0,0
77454,1974,Small Forward,1558.0,561.0,411.0,111.0,0.0,0.0,0.0,0.44,0.0,0.81,2.01,95.3,23.6,18.1,78.1,17.2,0
1864,2001,Center,132.0,19.0,21.0,6.0,2.0,1.0,8.0,0.39,0.33,0.57,2.08,99.8,23.1,17.5,82.3,17.5,0
600001,1971,Center,2761.0,1214.0,1382.0,166.0,0.0,0.0,0.0,0.44,0.0,0.63,2.11,102.1,22.9,19.3,82.4,19.7,0
77415,1991,Point Guard,159.0,24.0,15.0,42.0,11.0,0.0,11.0,0.4,0.0,1.0,1.83,88.5,26.4,22.1,68.9,19.6,0
0,,,0.0,150.0,61.0,16.0,0.0,0.0,0.0,0.35,0.0,0.77,,,,,,,0
1711,2021,Power Forward,387.0,166.0,91.0,8.0,9.0,17.0,9.0,0.46,0.39,0.75,2.11,108.9,24.5,20.6,86.5,22.4,0
2733,2038,Point Guard,231.0,71.0,28.0,20.0,7.0,2.0,9.0,0.52,0.0,0.9,2.01,87.1,21.6,17.3,72.0,15.1,0
1721,2010,Power Forward,2187.0,915.0,603.0,88.0,58.0,122.0,140.0,0.49,0.0,0.67,2.11,100.2,22.5,17.2,83.0,17.2,0
203925,2030,Shooting Guard,2142.0,974.0,248.0,130.0,46.0,14.0,62.0,0.5,0.48,0.78,1.98,99.8,25.5,21.8,78.0,21.8,0
78225,1956,Small Forward,0.0,531.0,0.0,97.0,0.0,0.0,0.0,0.32,0.0,0.66,1.96,93.0,24.2,20.0,74.4,18.6,0
76458,1978,Center,343.0,159.0,155.0,30.0,0.0,0.0,0.0,0.39,0.0,0.72,2.13,104.3,23.0,19.2,84.3,20.0,0
77412,1978,Small Forward,496.0,171.0,73.0,23.0,8.0,2.0,0.0,0.34,0.0,0.76,2.03,97.5,23.7,20.1,77.9,19.6,0
203584,2016,Point Guard,75.0,42.0,4.0,5.0,0.0,0.0,3.0,0.48,0.48,0.0,1.93,90.7,24.3,19.4,73.1,17.6,1
1717,2024,Small Forward,3020.0,2032.0,757.0,240.0,97.0,119.0,176.0,0.46,0.4,0.87,2.13,111.1,24.5,22.4,86.2,24.9,0
686,2012,Power Forward,1797.0,740.0,482.0,71.0,46.0,52.0,93.0,0.51,0.0,0.66,2.06,111.1,26.2,23.5,85.0,26.1,0
1630688,2024,Small Forward,17.0,3.0,5.0,1.0,2.0,0.0,1.0,0.17,0.25,0.0,1.96,113.4,29.5,25.9,84.0,29.4,0
78639,1953,Small Forward,622.0,187.0,146.0,31.0,0.0,0.0,0.0,0.37,0.0,0.66,2.01,97.5,24.1,18.2,79.8,17.7,0
76583,1994,Center,2525.0,969.0,649.0,90.0,40.0,139.0,171.0,0.6,0.0,0.76,2.18,124.7,26.2,23.7,95.1,29.6,0
1631117,2023,Center,1493.0,518.0,481.0,60.0,30.0,154.0,66.0,0.65,0.21,0.6,2.13,111.1,24.5,18.3,90.8,20.3,1
0,,,2180.0,676.0,820.0,78.0,0.0,0.0,0.0,0.41,0.0,0.69,,,,,,,0
0,,,1461.0,463.0,148.0,76.0,41.0,14.0,33.0,0.47,0.38,0.86,,,,,,,0
